"","Especies","Uno","Key1","Dos","Key2"
"167","Malacoctenus mexicanus","Presencia ausencia de Malacoctenus mexicanus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus mexicanus","Diversidad Funcional de Malacoctenus mexicanus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus mexicanus"
"168","Malacoctenus tetranemus","Presencia ausencia de Malacoctenus tetranemus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus tetranemus","Diversidad Funcional de Malacoctenus tetranemus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus tetranemus"
"169","Malacoctenus zacae","Presencia ausencia de Malacoctenus zacae en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus zacae","Diversidad Funcional de Malacoctenus zacae en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus zacae"
"170","Malacoctenus zonifer","Presencia ausencia de Malacoctenus zonifer en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Malacoctenus zonifer","Diversidad Funcional de Malacoctenus zonifer en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Malacoctenus zonifer"
"171","Paraclinus altivelis","Presencia ausencia de Paraclinus altivelis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Paraclinus altivelis","Diversidad Funcional de Paraclinus altivelis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Paraclinus altivelis"
"172","Paraclinus mexicanus","Presencia ausencia de Paraclinus mexicanus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Paraclinus mexicanus","Diversidad Funcional de Paraclinus mexicanus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Paraclinus mexicanus"
"173","Paraclinus monophthalmus","Presencia ausencia de Paraclinus monophthalmus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Paraclinus monophthalmus","Diversidad Funcional de Paraclinus monophthalmus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Paraclinus monophthalmus"
"174","Paraclinus sini","Presencia ausencia de Paraclinus sini en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Paraclinus sini","Diversidad Funcional de Paraclinus sini en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Paraclinus sini"
"175","Starksia cremnobates","Presencia ausencia de Starksia cremnobates en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Starksia cremnobates","Diversidad Funcional de Starksia cremnobates en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Starksia cremnobates"
"176","Starksia grammilaga","Presencia ausencia de Starksia grammilaga en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Starksia grammilaga","Diversidad Funcional de Starksia grammilaga en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Starksia grammilaga"
"177","Starksia spinipenis","Presencia ausencia de Starksia spinipenis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Starksia spinipenis","Diversidad Funcional de Starksia spinipenis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Starksia spinipenis"
"178","Xenomedea rhodopyga","Presencia ausencia de Xenomedea rhodopyga en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Xenomedea rhodopyga","Diversidad Funcional de Xenomedea rhodopyga en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Xenomedea rhodopyga"
"179","Hoplopagrus guentherii","Presencia ausencia de Hoplopagrus guentherii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hoplopagrus guentherii","Diversidad Funcional de Hoplopagrus guentherii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hoplopagrus guentherii"
"180","Lutjanus aratus","Presencia ausencia de Lutjanus aratus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus aratus","Diversidad Funcional de Lutjanus aratus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus aratus"
"181","Lutjanus argentiventris","Presencia ausencia de Lutjanus argentiventris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus argentiventris","Diversidad Funcional de Lutjanus argentiventris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus argentiventris"
"182","Lutjanus colorado","Presencia ausencia de Lutjanus colorado en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus colorado","Diversidad Funcional de Lutjanus colorado en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus colorado"
"183","Lutjanus guttatus","Presencia ausencia de Lutjanus guttatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus guttatus","Diversidad Funcional de Lutjanus guttatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus guttatus"
"184","Lutjanus inermis","Presencia ausencia de Lutjanus inermis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus inermis","Diversidad Funcional de Lutjanus inermis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus inermis"
"185","Lutjanus jordani","Presencia ausencia de Lutjanus jordani en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus jordani","Diversidad Funcional de Lutjanus jordani en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus jordani"
"186","Lutjanus novemfasciatus","Presencia ausencia de Lutjanus novemfasciatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus novemfasciatus","Diversidad Funcional de Lutjanus novemfasciatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus novemfasciatus"
"187","Lutjanus peru","Presencia ausencia de Lutjanus peru en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus peru","Diversidad Funcional de Lutjanus peru en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus peru"
"188","Lutjanus viridis","Presencia ausencia de Lutjanus viridis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Lutjanus viridis","Diversidad Funcional de Lutjanus viridis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Lutjanus viridis"
"189","Caulolatilus affinis","Presencia ausencia de Caulolatilus affinis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caulolatilus affinis","Diversidad Funcional de Caulolatilus affinis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caulolatilus affinis"
"190","Caulolatilus hubbsi","Presencia ausencia de Caulolatilus hubbsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caulolatilus hubbsi","Diversidad Funcional de Caulolatilus hubbsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caulolatilus hubbsi"
"191","Caulolatilus princeps","Presencia ausencia de Caulolatilus princeps en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Caulolatilus princeps","Diversidad Funcional de Caulolatilus princeps en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Caulolatilus princeps"
"192","Aluterus scriptus","Presencia ausencia de Aluterus scriptus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Aluterus scriptus","Diversidad Funcional de Aluterus scriptus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Aluterus scriptus"
"193","Cantherhines dumerilii","Presencia ausencia de Cantherhines dumerilii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Cantherhines dumerilii","Diversidad Funcional de Cantherhines dumerilii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Cantherhines dumerilii"
"194","Chaenomugil proboscideus","Presencia ausencia de Chaenomugil proboscideus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chaenomugil proboscideus","Diversidad Funcional de Chaenomugil proboscideus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chaenomugil proboscideus"
"195","Mugil cephalus","Presencia ausencia de Mugil cephalus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Mugil cephalus","Diversidad Funcional de Mugil cephalus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Mugil cephalus"
"196","Mugil curema","Presencia ausencia de Mugil curema en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Mugil curema","Diversidad Funcional de Mugil curema en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Mugil curema"
"197","Mulloidichthys dentatus","Presencia ausencia de Mulloidichthys dentatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Mulloidichthys dentatus","Diversidad Funcional de Mulloidichthys dentatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Mulloidichthys dentatus"
"198","Pseudupeneus grandisquamis","Presencia ausencia de Pseudupeneus grandisquamis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pseudupeneus grandisquamis","Diversidad Funcional de Pseudupeneus grandisquamis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pseudupeneus grandisquamis"
"199","Anarchias galapagensis","Presencia ausencia de Anarchias galapagensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Anarchias galapagensis","Diversidad Funcional de Anarchias galapagensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Anarchias galapagensis"
"200","Echidna nebulosa","Presencia ausencia de Echidna nebulosa en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Echidna nebulosa","Diversidad Funcional de Echidna nebulosa en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Echidna nebulosa"
"201","Echidna nocturna","Presencia ausencia de Echidna nocturna en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Echidna nocturna","Diversidad Funcional de Echidna nocturna en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Echidna nocturna"
"202","Enchelycore octaviana","Presencia ausencia de Enchelycore octaviana en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Enchelycore octaviana","Diversidad Funcional de Enchelycore octaviana en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Enchelycore octaviana"
"203","Muraena argus","Presencia ausencia de Muraena argus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Muraena argus","Diversidad Funcional de Muraena argus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Muraena argus"
"204","Muraena lentiginosa","Presencia ausencia de Muraena lentiginosa en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Muraena lentiginosa","Diversidad Funcional de Muraena lentiginosa en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Muraena lentiginosa"
"205","Gymnothorax castaneus","Presencia ausencia de Gymnothorax castaneus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gymnothorax castaneus","Diversidad Funcional de Gymnothorax castaneus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gymnothorax castaneus"
"206","Gymnothorax dovii","Presencia ausencia de Gymnothorax dovii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gymnothorax dovii","Diversidad Funcional de Gymnothorax dovii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gymnothorax dovii"
"207","Gymnothorax panamensis","Presencia ausencia de Gymnothorax panamensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gymnothorax panamensis","Diversidad Funcional de Gymnothorax panamensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gymnothorax panamensis"
"208","Gymnomuraena zebra","Presencia ausencia de Gymnomuraena zebra en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Gymnomuraena zebra","Diversidad Funcional de Gymnomuraena zebra en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Gymnomuraena zebra"
"209","Uropterygius macrocephalus","Presencia ausencia de Uropterygius macrocephalus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Uropterygius macrocephalus","Diversidad Funcional de Uropterygius macrocephalus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Uropterygius macrocephalus"
"210","Uropterygius polystictus","Presencia ausencia de Uropterygius polystictus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Uropterygius polystictus","Diversidad Funcional de Uropterygius polystictus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Uropterygius polystictus"
"211","Scuticaria tigrina","Presencia ausencia de Scuticaria tigrina en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Scuticaria tigrina","Diversidad Funcional de Scuticaria tigrina en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Scuticaria tigrina"
"212","Opistognathus punctatus","Presencia ausencia de Opistognathus punctatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Opistognathus punctatus","Diversidad Funcional de Opistognathus punctatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Opistognathus punctatus"
"213","Opistognathus rhomaleus","Presencia ausencia de Opistognathus rhomaleus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Opistognathus rhomaleus","Diversidad Funcional de Opistognathus rhomaleus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Opistognathus rhomaleus"
"214","Opistognathus rosenblatti","Presencia ausencia de Opistognathus rosenblatti en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Opistognathus rosenblatti","Diversidad Funcional de Opistognathus rosenblatti en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Opistognathus rosenblatti"
"215","Opistognathus scops","Presencia ausencia de Opistognathus scops en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Opistognathus scops","Diversidad Funcional de Opistognathus scops en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Opistognathus scops"
"216","Callechelys cliffi","Presencia ausencia de Callechelys cliffi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Callechelys cliffi","Diversidad Funcional de Callechelys cliffi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Callechelys cliffi"
"217","Callechelys eristigma","Presencia ausencia de Callechelys eristigma en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Callechelys eristigma","Diversidad Funcional de Callechelys eristigma en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Callechelys eristigma"
"218","Myrichthys tigrinus","Presencia ausencia de Myrichthys tigrinus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Myrichthys tigrinus","Diversidad Funcional de Myrichthys tigrinus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Myrichthys tigrinus"
"219","Myrichthys maculosus","Presencia ausencia de Myrichthys maculosus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Myrichthys maculosus","Diversidad Funcional de Myrichthys maculosus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Myrichthys maculosus"
"220","Myrophis vafer","Presencia ausencia de Myrophis vafer en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Myrophis vafer","Diversidad Funcional de Myrophis vafer en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Myrophis vafer"
"221","Phaenomonas pinnata","Presencia ausencia de Phaenomonas pinnata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Phaenomonas pinnata","Diversidad Funcional de Phaenomonas pinnata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Phaenomonas pinnata"
"222","Quassiremus nothochir","Presencia ausencia de Quassiremus nothochir en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Quassiremus nothochir","Diversidad Funcional de Quassiremus nothochir en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Quassiremus nothochir"
"223","Petrotyx hopkinsi","Presencia ausencia de Petrotyx hopkinsi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Petrotyx hopkinsi","Diversidad Funcional de Petrotyx hopkinsi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Petrotyx hopkinsi"
"224","Ostracion meleagris","Presencia ausencia de Ostracion meleagris en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Ostracion meleagris","Diversidad Funcional de Ostracion meleagris en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Ostracion meleagris"
"225","Holacanthus clarionensis","Presencia ausencia de Holacanthus clarionensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Holacanthus clarionensis","Diversidad Funcional de Holacanthus clarionensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Holacanthus clarionensis"
"226","Holacanthus passer","Presencia ausencia de Holacanthus passer en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Holacanthus passer","Diversidad Funcional de Holacanthus passer en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Holacanthus passer"
"227","Pomacanthus zonipectus","Presencia ausencia de Pomacanthus zonipectus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pomacanthus zonipectus","Diversidad Funcional de Pomacanthus zonipectus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pomacanthus zonipectus"
"228","Abudefduf concolor","Presencia ausencia de Abudefduf concolor en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Abudefduf concolor","Diversidad Funcional de Abudefduf concolor en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Abudefduf concolor"
"229","Abudefduf declivifrons","Presencia ausencia de Abudefduf declivifrons en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Abudefduf declivifrons","Diversidad Funcional de Abudefduf declivifrons en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Abudefduf declivifrons"
"230","Abudefduf troschelii","Presencia ausencia de Abudefduf troschelii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Abudefduf troschelii","Diversidad Funcional de Abudefduf troschelii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Abudefduf troschelii"
"231","Chromis alta","Presencia ausencia de Chromis alta en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chromis alta","Diversidad Funcional de Chromis alta en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chromis alta"
"232","Chromis atrilobata","Presencia ausencia de Chromis atrilobata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chromis atrilobata","Diversidad Funcional de Chromis atrilobata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chromis atrilobata"
"233","Chromis limbaughi","Presencia ausencia de Chromis limbaughi en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Chromis limbaughi","Diversidad Funcional de Chromis limbaughi en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Chromis limbaughi"
"234","Hypsypops rubicundus","Presencia ausencia de Hypsypops rubicundus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Hypsypops rubicundus","Diversidad Funcional de Hypsypops rubicundus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Hypsypops rubicundus"
"235","Microspathodon bairdii","Presencia ausencia de Microspathodon bairdii en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Microspathodon bairdii","Diversidad Funcional de Microspathodon bairdii en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Microspathodon bairdii"
"236","Microspathodon dorsalis","Presencia ausencia de Microspathodon dorsalis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Microspathodon dorsalis","Diversidad Funcional de Microspathodon dorsalis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Microspathodon dorsalis"
"237","Stegastes acapulcoensis","Presencia ausencia de Stegastes acapulcoensis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stegastes acapulcoensis","Diversidad Funcional de Stegastes acapulcoensis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stegastes acapulcoensis"
"238","Stegastes flavilatus","Presencia ausencia de Stegastes flavilatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stegastes flavilatus","Diversidad Funcional de Stegastes flavilatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stegastes flavilatus"
"239","Stegastes leucorus","Presencia ausencia de Stegastes leucorus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stegastes leucorus","Diversidad Funcional de Stegastes leucorus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stegastes leucorus"
"240","Stegastes rectifraenum","Presencia ausencia de Stegastes rectifraenum en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Stegastes rectifraenum","Diversidad Funcional de Stegastes rectifraenum en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Stegastes rectifraenum"
"241","Heteropriacanthus cruentatus","Presencia ausencia de Heteropriacanthus cruentatus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Heteropriacanthus cruentatus","Diversidad Funcional de Heteropriacanthus cruentatus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Heteropriacanthus cruentatus"
"242","Pristigenys serrula","Presencia ausencia de Pristigenys serrula en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pristigenys serrula","Diversidad Funcional de Pristigenys serrula en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pristigenys serrula"
"243","Calotomus carolinus","Presencia ausencia de Calotomus carolinus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Calotomus carolinus","Diversidad Funcional de Calotomus carolinus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Calotomus carolinus"
"244","Nicholsina denticulata","Presencia ausencia de Nicholsina denticulata en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Nicholsina denticulata","Diversidad Funcional de Nicholsina denticulata en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Nicholsina denticulata"
"245","Scarus compressus","Presencia ausencia de Scarus compressus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Scarus compressus","Diversidad Funcional de Scarus compressus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Scarus compressus"
"246","Scarus ghobban","Presencia ausencia de Scarus ghobban en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Scarus ghobban","Diversidad Funcional de Scarus ghobban en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Scarus ghobban"
"247","Scarus perrico","Presencia ausencia de Scarus perrico en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Scarus perrico","Diversidad Funcional de Scarus perrico en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Scarus perrico"
"248","Scarus rubroviolaceus","Presencia ausencia de Scarus rubroviolaceus en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Scarus rubroviolaceus","Diversidad Funcional de Scarus rubroviolaceus en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Scarus rubroviolaceus"
"249","Atractoscion nobilis","Presencia ausencia de Atractoscion nobilis en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Atractoscion nobilis","Diversidad Funcional de Atractoscion nobilis en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Atractoscion nobilis"
"250","Pareques viola","Presencia ausencia de Pareques viola en el Golfo de California","Vertebrados; Abundancia; Diversidad; Peces; Presencia; Ausencia; Pareques viola","Diversidad Funcional de Pareques viola en el Golfo de Calfornia","Ecologia; Comunidades; Peces; Vertebrados; Diversidad; Fucional; Pareques viola"
