"","X1","X2","X3","X4","Comun","Sci1","Sci2","Sci3","Sci4"
"347","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA","Mugil cephalus","cephalus NA","Mugil cephalus"
"348","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA","Calamus brachysomus","brachysomus NA","Calamus brachysomus"
"349","Trachinotus","paitensis",NA,NA,"Trachinotus paitensis","NA NA","Trachinotus paitensis","paitensis NA","Trachinotus paitensis"
"350","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA","Sebastes paucispinis","paucispinis NA","Sebastes paucispinis"
"351","Sebastes","paucispinis",NA,NA,"Sebastes paucispinis","NA NA","Sebastes paucispinis","paucispinis NA","Sebastes paucispinis"
"352","Pacifico","Lutjanus",NA,NA,"Pacifico Lutjanus","NA NA","Pacifico Lutjanus","Lutjanus NA","Pacifico Lutjanus"
"353","Lutjanus","guttatus",NA,NA,"Lutjanus guttatus","NA NA","Lutjanus guttatus","guttatus NA","Lutjanus guttatus"
"354","Lutjanus","argentiventris",NA,NA,"Lutjanus argentiventris","NA NA","Lutjanus argentiventris","argentiventris NA","Lutjanus argentiventris"
"355","colmillon","Lutjanus",NA,NA,"colmillon Lutjanus","NA NA","colmillon Lutjanus","Lutjanus NA","colmillon Lutjanus"
"356","Lutjanus","colorado",NA,NA,"Lutjanus colorado","NA NA","Lutjanus colorado","colorado NA","Lutjanus colorado"
"357","prieto","Lutjanus",NA,NA,"prieto Lutjanus","NA NA","prieto Lutjanus","Lutjanus NA","prieto Lutjanus"
"358","Lutjanus","inermis",NA,NA,"Lutjanus inermis","NA NA","Lutjanus inermis","inermis NA","Lutjanus inermis"
"359","Lutjanus","viridis",NA,NA,"Lutjanus viridis","NA NA","Lutjanus viridis","viridis NA","Lutjanus viridis"
"360","Hoplopagrus","guentheri",NA,NA,"Hoplopagrus guentheri","NA NA","Hoplopagrus guentheri","guentheri NA","Hoplopagrus guentheri"
"361","Lutjanus","aratus",NA,NA,"Lutjanus aratus","NA NA","Lutjanus aratus","aratus NA","Lutjanus aratus"
"362","amarilla;Acanthurus","xanthopterus",NA,NA,"amarilla;Acanthurus xanthopterus","NA NA","amarilla;Acanthurus xanthopterus","xanthopterus NA","amarilla;Acanthurus xanthopterus"
"363","Alphestes","immaculatus",NA,NA,"Alphestes immaculatus","NA NA","Alphestes immaculatus","immaculatus NA","Alphestes immaculatus"
"364","trompa","Aluterus",NA,NA,"trompa Aluterus","NA NA","trompa Aluterus","Aluterus NA","trompa Aluterus"
"365","Anisotremus","interruptus",NA,NA,"Anisotremus interruptus","NA NA","Anisotremus interruptus","interruptus NA","Anisotremus interruptus"
"366","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA","Balistes polylepis","polylepis NA","Balistes polylepis"
"367","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA","Calamus brachysomus","brachysomus NA","Calamus brachysomus"
"368","hebra;cocinero;Carangoides","otrynter",NA,NA,"hebra;cocinero;Carangoides otrynter","NA NA","hebra;cocinero;Carangoides otrynter","otrynter NA","hebra;cocinero;Carangoides otrynter"
"369","Caranx","caninus",NA,NA,"Caranx caninus","NA NA","Caranx caninus","caninus NA","Caranx caninus"
"370","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA","Caranx sexfasciatus","sexfasciatus NA","Caranx sexfasciatus"
"371","Caulolatilus","affinis",NA,NA,"Caulolatilus affinis","NA NA","Caulolatilus affinis","affinis NA","Caulolatilus affinis"
"372","Epinephelus","itajara",NA,NA,"Epinephelus itajara","NA NA","Epinephelus itajara","itajara NA","Epinephelus itajara"
"373","Epinephelus","labriformis",NA,NA,"Epinephelus labriformis","NA NA","Epinephelus labriformis","labriformis NA","Epinephelus labriformis"
"374","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA","Epinephelus niphobles","niphobles NA","Epinephelus niphobles"
"375","Haemulon","flaviguttatum",NA,NA,"Haemulon flaviguttatum","NA NA","Haemulon flaviguttatum","flaviguttatum NA","Haemulon flaviguttatum"
"376","Haemulon","maculicauda",NA,NA,"Haemulon maculicauda","NA NA","Haemulon maculicauda","maculicauda NA","Haemulon maculicauda"
"377","Haemulon","sexfasciatum",NA,NA,"Haemulon sexfasciatum","NA NA","Haemulon sexfasciatum","sexfasciatum NA","Haemulon sexfasciatum"
"378","Kyphosus","analogus",NA,NA,"Kyphosus analogus","NA NA","Kyphosus analogus","analogus NA","Kyphosus analogus"
"379","Kyphosus","elegans",NA,NA,"Kyphosus elegans","NA NA","Kyphosus elegans","elegans NA","Kyphosus elegans"
"380","Microlepidotus","brevipinnis",NA,NA,"Microlepidotus brevipinnis","NA NA","Microlepidotus brevipinnis","brevipinnis NA","Microlepidotus brevipinnis"
"381","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA","Microlepidotus inornatus","inornatus NA","Microlepidotus inornatus"
"382","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA","Microlepidotus inornatus","inornatus NA","Microlepidotus inornatus"
"383","Mycteroperca","jordani",NA,NA,"Mycteroperca jordani","NA NA","Mycteroperca jordani","jordani NA","Mycteroperca jordani"
"384","Mycteroperca","rosacea",NA,NA,"Mycteroperca rosacea","NA NA","Mycteroperca rosacea","rosacea NA","Mycteroperca rosacea"
"385","Sectator","ocyurus",NA,NA,"Sectator ocyurus","NA NA","Sectator ocyurus","ocyurus NA","Sectator ocyurus"
"386","Orthopristis","reddingi",NA,NA,"Orthopristis reddingi","NA NA","Orthopristis reddingi","reddingi NA","Orthopristis reddingi"
"387","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA","Paralabrax auroguttatus","auroguttatus NA","Paralabrax auroguttatus"
"388","Paralabrax","loro",NA,NA,"Paralabrax loro","NA NA","Paralabrax loro","loro NA","Paralabrax loro"
"389","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA","Paralabrax maculatofasciatus","maculatofasciatus NA","Paralabrax maculatofasciatus"
"390","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA","Rhinoptera steindachneri","steindachneri NA","Rhinoptera steindachneri"
"391","Scorpaena","mystes",NA,NA,"Scorpaena mystes","NA NA","Scorpaena mystes","mystes NA","Scorpaena mystes"
"392","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA","Seriola rivoliana","rivoliana NA","Seriola rivoliana"
"393","Sphoeroides","annulatus",NA,NA,"Sphoeroides annulatus","NA NA","Sphoeroides annulatus","annulatus NA","Sphoeroides annulatus"
"394","Suflamen","verres",NA,NA,"Suflamen verres","NA NA","Suflamen verres","verres NA","Suflamen verres"
"395","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA","Trachinotus rhodopus","rhodopus NA","Trachinotus rhodopus"
"396","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA","Umbrina xanti","xanti NA","Umbrina xanti"
"397","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA","Xenichthys xanti","xanti NA","Xenichthys xanti"
"398","Cephalopholis","panamensis",NA,NA,"Cephalopholis panamensis","NA NA","Cephalopholis panamensis","panamensis NA","Cephalopholis panamensis"
"399","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA","Cynoscion parvipinnis","parvipinnis NA","Cynoscion parvipinnis"
"400","Chaetodipterus","zonatus",NA,NA,"Chaetodipterus zonatus","NA NA","Chaetodipterus zonatus","zonatus NA","Chaetodipterus zonatus"
"401","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA","Epinephelus acanthistius","acanthistius NA","Epinephelus acanthistius"
"402","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA","Epinephelus analogus","analogus NA","Epinephelus analogus"
"403","Caranx","caninus",NA,NA,"Caranx caninus","NA NA","Caranx caninus","caninus NA","Caranx caninus"
"404","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA","Caranx sexfasciatus","sexfasciatus NA","Caranx sexfasciatus"
"405","Caranx","caballus",NA,NA,"Caranx caballus","NA NA","Caranx caballus","caballus NA","Caranx caballus"
"406","Selar","crumenophtalmus",NA,NA,"Selar crumenophtalmus","NA NA","Selar crumenophtalmus","crumenophtalmus NA","Selar crumenophtalmus"
"407","Seriola","lalandi",NA,NA,"Seriola lalandi","NA NA","Seriola lalandi","lalandi NA","Seriola lalandi"
"408","Seriola","peruana",NA,NA,"Seriola peruana","NA NA","Seriola peruana","peruana NA","Seriola peruana"
"409","Seriola","rivoliana",NA,NA,"Seriola rivoliana","NA NA","Seriola rivoliana","rivoliana NA","Seriola rivoliana"
"410","Elagatis","bipinnulata",NA,NA,"Elagatis bipinnulata","NA NA","Elagatis bipinnulata","bipinnulata NA","Elagatis bipinnulata"
"411","Caranx","otrynter",NA,NA,"Caranx otrynter","NA NA","Caranx otrynter","otrynter NA","Caranx otrynter"
"412","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA","Trachinotus rhodopus","rhodopus NA","Trachinotus rhodopus"
"413","Trachinotus","paitensis",NA,NA,"Trachinotus paitensis","NA NA","Trachinotus paitensis","paitensis NA","Trachinotus paitensis"
"414","Elops","affinis",NA,NA,"Elops affinis","NA NA","Elops affinis","affinis NA","Elops affinis"
"415","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA","Gerres cinereus","cinereus NA","Gerres cinereus"
"416","Suflamen","verres",NA,NA,"Suflamen verres","NA NA","Suflamen verres","verres NA","Suflamen verres"
"417","Balistes","polylepis",NA,NA,"Balistes polylepis","NA NA","Balistes polylepis","polylepis NA","Balistes polylepis"
"418","Microlepidotus","inornatus",NA,NA,"Microlepidotus inornatus","NA NA","Microlepidotus inornatus","inornatus NA","Microlepidotus inornatus"
"419","Scomberomorus","sierra",NA,NA,"Scomberomorus sierra","NA NA","Scomberomorus sierra","sierra NA","Scomberomorus sierra"
"420","Fistularia","commersonii",NA,NA,"Fistularia commersonii","NA NA","Fistularia commersonii","commersonii NA","Fistularia commersonii"
"421","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA","Strongylura exilis","exilis NA","Strongylura exilis"
"422","Nematistius","pectoralis",NA,NA,"Nematistius pectoralis","NA NA","Nematistius pectoralis","pectoralis NA","Nematistius pectoralis"
"423","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA","Calamus brachysomus","brachysomus NA","Calamus brachysomus"
"424","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA","Paralichthys californicus","californicus NA","Paralichthys californicus"
"425","Paralichthys","woolmani",NA,NA,"Paralichthys woolmani","NA NA","Paralichthys woolmani","woolmani NA","Paralichthys woolmani"
"426","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA","Paralichthys californicus","californicus NA","Paralichthys californicus"
"427","Xystreurys","liolepis",NA,NA,"Xystreurys liolepis","NA NA","Xystreurys liolepis","liolepis NA","Xystreurys liolepis"
"428","Hippoglossina","stomata",NA,NA,"Hippoglossina stomata","NA NA","Hippoglossina stomata","stomata NA","Hippoglossina stomata"
"429","Hippoglossina","tetropthalmus",NA,NA,"Hippoglossina tetropthalmus","NA NA","Hippoglossina tetropthalmus","tetropthalmus NA","Hippoglossina tetropthalmus"
"430","Hypsopsetta","guttulata",NA,NA,"Hypsopsetta guttulata","NA NA","Hypsopsetta guttulata","guttulata NA","Hypsopsetta guttulata"
"431","Microstomus","pacificus",NA,NA,"Microstomus pacificus","NA NA","Microstomus pacificus","pacificus NA","Microstomus pacificus"
"432","Citharichthys","gilberti",NA,NA,"Citharichthys gilberti","NA NA","Citharichthys gilberti","gilberti NA","Citharichthys gilberti"
"433","Citharichthys","xanthostigma",NA,NA,"Citharichthys xanthostigma","NA NA","Citharichthys xanthostigma","xanthostigma NA","Citharichthys xanthostigma"
"434","Myliobatis","longirostris",NA,NA,"Myliobatis longirostris","NA NA","Myliobatis longirostris","longirostris NA","Myliobatis longirostris"
"435","Myliobatis","californica",NA,NA,"Myliobatis californica","NA NA","Myliobatis californica","californica NA","Myliobatis californica"
"436","Dasyatis","dipterura",NA,NA,"Dasyatis dipterura","NA NA","Dasyatis dipterura","dipterura NA","Dasyatis dipterura"
"437","Rhinobatos","productusd",NA,NA,"Rhinobatos productusd","NA NA","Rhinobatos productusd","productusd NA","Rhinobatos productusd"
"438","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA","Rhinoptera steindachneri","steindachneri NA","Rhinoptera steindachneri"
"439","Aetobatus","narinari",NA,NA,"Aetobatus narinari","NA NA","Aetobatus narinari","narinari NA","Aetobatus narinari"
"440","Cyclopsetta","querna",NA,NA,"Cyclopsetta querna","NA NA","Cyclopsetta querna","querna NA","Cyclopsetta querna"
"441","Ancyclopsetta","dendriticaf,",NA,NA,"Ancyclopsetta dendriticaf,","NA NA","Ancyclopsetta dendriticaf,","dendriticaf, NA","Ancyclopsetta dendriticaf,"
"442","Mugil","cephalus",NA,NA,"Mugil cephalus","NA NA","Mugil cephalus","cephalus NA","Mugil cephalus"
"443","Mugil","curema",NA,NA,"Mugil curema","NA NA","Mugil curema","curema NA","Mugil curema"
"444","Mugil","hospes",NA,NA,"Mugil hospes","NA NA","Mugil hospes","hospes NA","Mugil hospes"
"445","Albula","nemoptera",NA,NA,"Albula nemoptera","NA NA","Albula nemoptera","nemoptera NA","Albula nemoptera"
"446","Anchoa","ischana",NA,NA,"Anchoa ischana","NA NA","Anchoa ischana","ischana NA","Anchoa ischana"
"447","Ariopsis","guatemalensis",NA,NA,"Ariopsis guatemalensis","NA NA","Ariopsis guatemalensis","guatemalensis NA","Ariopsis guatemalensis"
"448","Caranxs","vinctus",NA,NA,"Caranxs vinctus","NA NA","Caranxs vinctus","vinctus NA","Caranxs vinctus"
"449","Caranxs","caballus",NA,NA,"Caranxs caballus","NA NA","Caranxs caballus","caballus NA","Caranxs caballus"
"450","Centropomus","nigrescens",NA,NA,"Centropomus nigrescens","NA NA","Centropomus nigrescens","nigrescens NA","Centropomus nigrescens"
"451","Centropomus","robalito",NA,NA,"Centropomus robalito","NA NA","Centropomus robalito","robalito NA","Centropomus robalito"
"452","Centropomus","robalito",NA,NA,"Centropomus robalito","NA NA","Centropomus robalito","robalito NA","Centropomus robalito"
"453","Cetengraulis","mysticetus",NA,NA,"Cetengraulis mysticetus","NA NA","Cetengraulis mysticetus","mysticetus NA","Cetengraulis mysticetus"
"454","chanos",NA,NA,NA,"chanos NA","NA NA","chanos NA","NA NA","chanos NA"
"455","Chloroscombrus","orqueta",NA,NA,"Chloroscombrus orqueta","NA NA","Chloroscombrus orqueta","orqueta NA","Chloroscombrus orqueta"
"456","Cynoscion","parvipinnis",NA,NA,"Cynoscion parvipinnis","NA NA","Cynoscion parvipinnis","parvipinnis NA","Cynoscion parvipinnis"
"457","Diapterus","aureolus",NA,NA,"Diapterus aureolus","NA NA","Diapterus aureolus","aureolus NA","Diapterus aureolus"
"458","Diapterus","peruvianus",NA,NA,"Diapterus peruvianus","NA NA","Diapterus peruvianus","peruvianus NA","Diapterus peruvianus"
"459","malacapa",NA,NA,NA,"malacapa NA","NA NA","malacapa NA","NA NA","malacapa NA"
"460","Elops","affinis",NA,NA,"Elops affinis","NA NA","Elops affinis","affinis NA","Elops affinis"
"461","Eucinostomus","currani",NA,NA,"Eucinostomus currani","NA NA","Eucinostomus currani","currani NA","Eucinostomus currani"
"462","Eucinostomus","gracilis",NA,NA,"Eucinostomus gracilis","NA NA","Eucinostomus gracilis","gracilis NA","Eucinostomus gracilis"
"463","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA","Gerres cinereus","cinereus NA","Gerres cinereus"
"464","Hemicaranx","zelotes",NA,NA,"Hemicaranx zelotes","NA NA","Hemicaranx zelotes","zelotes NA","Hemicaranx zelotes"
"465","Menticirrhus","undulatus",NA,NA,"Menticirrhus undulatus","NA NA","Menticirrhus undulatus","undulatus NA","Menticirrhus undulatus"
"466","Oligoplites","altus",NA,NA,"Oligoplites altus","NA NA","Oligoplites altus","altus NA","Oligoplites altus"
"467","Ophioscion","strabo",NA,NA,"Ophioscion strabo","NA NA","Ophioscion strabo","strabo NA","Ophioscion strabo"
"468","Opisthonema","libertate",NA,NA,"Opisthonema libertate","NA NA","Opisthonema libertate","libertate NA","Opisthonema libertate"
"469","Orthopristis","chalceus",NA,NA,"Orthopristis chalceus","NA NA","Orthopristis chalceus","chalceus NA","Orthopristis chalceus"
"470","Orthopristis","reddingi",NA,NA,"Orthopristis reddingi","NA NA","Orthopristis reddingi","reddingi NA","Orthopristis reddingi"
"471","Polydactylus","approximans",NA,NA,"Polydactylus approximans","NA NA","Polydactylus approximans","approximans NA","Polydactylus approximans"
"472","Haemulopsis","leuciscus",NA,NA,"Haemulopsis leuciscus","NA NA","Haemulopsis leuciscus","leuciscus NA","Haemulopsis leuciscus"
"473","Pomadasys","panamensis",NA,NA,"Pomadasys panamensis","NA NA","Pomadasys panamensis","panamensis NA","Pomadasys panamensis"
"474","Pseudupeneus","grandisquamis",NA,NA,"Pseudupeneus grandisquamis","NA NA","Pseudupeneus grandisquamis","grandisquamis NA","Pseudupeneus grandisquamis"
"475","Mulloidichthys","dentatus",NA,NA,"Mulloidichthys dentatus","NA NA","Mulloidichthys dentatus","dentatus NA","Mulloidichthys dentatus"
"476","Selene","brevoortii",NA,NA,"Selene brevoortii","NA NA","Selene brevoortii","brevoortii NA","Selene brevoortii"
"477","Sphoeroides","annulatus",NA,NA,"Sphoeroides annulatus","NA NA","Sphoeroides annulatus","annulatus NA","Sphoeroides annulatus"
"478","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA","Strongylura exilis","exilis NA","Strongylura exilis"
"479","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA","Xenichthys xanti","xanti NA","Xenichthys xanti"
"480","Lutjanus","argentriventris",NA,NA,"Lutjanus argentriventris","NA NA","Lutjanus argentriventris","argentriventris NA","Lutjanus argentriventris"
"481","Caulolatilus","princeps",NA,NA,"Caulolatilus princeps","NA NA","Caulolatilus princeps","princeps NA","Caulolatilus princeps"
"482","Caulolatilus","affinis",NA,NA,"Caulolatilus affinis","NA NA","Caulolatilus affinis","affinis NA","Caulolatilus affinis"
"483","hubbsi",NA,NA,NA,"hubbsi NA","NA NA","hubbsi NA","NA NA","hubbsi NA"
"484","acanthistius",NA,NA,NA,"acanthistius NA","NA NA","acanthistius NA","NA NA","acanthistius NA"
"485","Epinephelus","niphobles",NA,NA,"Epinephelus niphobles","NA NA","Epinephelus niphobles","niphobles NA","Epinephelus niphobles"
"486","Paralabrax","nebulifer",NA,NA,"Paralabrax nebulifer","NA NA","Paralabrax nebulifer","nebulifer NA","Paralabrax nebulifer"
"487","Semicossyphus","pulcher",NA,NA,"Semicossyphus pulcher","NA NA","Semicossyphus pulcher","pulcher NA","Semicossyphus pulcher"
"488","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA","Sphyraena ensis","ensis NA","Sphyraena ensis"
"489","Mustelus","californicus",NA,NA,"Mustelus californicus","NA NA","Mustelus californicus","californicus NA","Mustelus californicus"
"490","Mustelus","lunulatus",NA,NA,"Mustelus lunulatus","NA NA","Mustelus lunulatus","lunulatus NA","Mustelus lunulatus"
"491","Mustelus","henlei",NA,NA,"Mustelus henlei","NA NA","Mustelus henlei","henlei NA","Mustelus henlei"
"492","Paralabrax","auroguttatus",NA,NA,"Paralabrax auroguttatus","NA NA","Paralabrax auroguttatus","auroguttatus NA","Paralabrax auroguttatus"
"493","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA","Micropogonias megalops","megalops NA","Micropogonias megalops"
"494","Cynoscion","othonopterus",NA,NA,"Cynoscion othonopterus","NA NA","Cynoscion othonopterus","othonopterus NA","Cynoscion othonopterus"
"495","Paralabrax","maculatofasciatus",NA,NA,"Paralabrax maculatofasciatus","NA NA","Paralabrax maculatofasciatus","maculatofasciatus NA","Paralabrax maculatofasciatus"
"496","Rhinobatos","productus",NA,NA,"Rhinobatos productus","NA NA","Rhinobatos productus","productus NA","Rhinobatos productus"
"497","Rhinobatos","glaucostigma",NA,NA,"Rhinobatos glaucostigma","NA NA","Rhinobatos glaucostigma","glaucostigma NA","Rhinobatos glaucostigma"
"498","Rhinobatos","leucorhynchus",NA,NA,"Rhinobatos leucorhynchus","NA NA","Rhinobatos leucorhynchus","leucorhynchus NA","Rhinobatos leucorhynchus"
"499","Narcine","entemedor",NA,NA,"Narcine entemedor","NA NA","Narcine entemedor","entemedor NA","Narcine entemedor"
"500","Zapterix","exasperata",NA,NA,"Zapterix exasperata","NA NA","Zapterix exasperata","exasperata NA","Zapterix exasperata"
"501","Dasyatis","dipterura",NA,NA,"Dasyatis dipterura","NA NA","Dasyatis dipterura","dipterura NA","Dasyatis dipterura"
"502","Dasyatis","longus",NA,NA,"Dasyatis longus","NA NA","Dasyatis longus","longus NA","Dasyatis longus"
"503","Aetobatus","narinari",NA,NA,"Aetobatus narinari","NA NA","Aetobatus narinari","narinari NA","Aetobatus narinari"
"504","Rhinoptera","steindachneri",NA,NA,"Rhinoptera steindachneri","NA NA","Rhinoptera steindachneri","steindachneri NA","Rhinoptera steindachneri"
"505","Myliobatis","californica",NA,NA,"Myliobatis californica","NA NA","Myliobatis californica","californica NA","Myliobatis californica"
"506","Myliobatis","longirostris",NA,NA,"Myliobatis longirostris","NA NA","Myliobatis longirostris","longirostris NA","Myliobatis longirostris"
"507","Gymnura","marmorata",NA,NA,"Gymnura marmorata","NA NA","Gymnura marmorata","marmorata NA","Gymnura marmorata"
"508","Gymnura","crebripunctata",NA,NA,"Gymnura crebripunctata","NA NA","Gymnura crebripunctata","crebripunctata NA","Gymnura crebripunctata"
"509","Raja","velezi",NA,NA,"Raja velezi","NA NA","Raja velezi","velezi NA","Raja velezi"
"510","Urobatis","halleri",NA,NA,"Urobatis halleri","NA NA","Urobatis halleri","halleri NA","Urobatis halleri"
"511","Urotrygon","rogersi",NA,NA,"Urotrygon rogersi","NA NA","Urotrygon rogersi","rogersi NA","Urotrygon rogersi"
"512","Urobatis","maculatus",NA,NA,"Urobatis maculatus","NA NA","Urobatis maculatus","maculatus NA","Urobatis maculatus"
"513","Raja","inornata",NA,NA,"Raja inornata","NA NA","Raja inornata","inornata NA","Raja inornata"
"514","Paralichthys","californicus",NA,NA,"Paralichthys californicus","NA NA","Paralichthys californicus","californicus NA","Paralichthys californicus"
"515","Paralichthys","aestuarius",NA,NA,"Paralichthys aestuarius","NA NA","Paralichthys aestuarius","aestuarius NA","Paralichthys aestuarius"
"516","Micropogonias","megalops",NA,NA,"Micropogonias megalops","NA NA","Micropogonias megalops","megalops NA","Micropogonias megalops"
"517","Squatina","californica",NA,NA,"Squatina californica","NA NA","Squatina californica","californica NA","Squatina californica"
"518","Epinephelus","acanthistius",NA,NA,"Epinephelus acanthistius","NA NA","Epinephelus acanthistius","acanthistius NA","Epinephelus acanthistius"
"519","Paralabrax","auroguttatusd.",NA,NA,"Paralabrax auroguttatusd.","NA NA","Paralabrax auroguttatusd.","auroguttatusd. NA","Paralabrax auroguttatusd."
"520","Manta","birostris",NA,NA,"Manta birostris","NA NA","Manta birostris","birostris NA","Manta birostris"
"521","Mobula","thurstoni",NA,NA,"Mobula thurstoni","NA NA","Mobula thurstoni","thurstoni NA","Mobula thurstoni"
"522","Mobula","munkiana",NA,NA,"Mobula munkiana","NA NA","Mobula munkiana","munkiana NA","Mobula munkiana"
"523","Mobula","japanica",NA,NA,"Mobula japanica","NA NA","Mobula japanica","japanica NA","Mobula japanica"
"524","Mobula","tarapacana",NA,NA,"Mobula tarapacana","NA NA","Mobula tarapacana","tarapacana NA","Mobula tarapacana"
"525","Centropomus","viridis",NA,NA,"Centropomus viridis","NA NA","Centropomus viridis","viridis NA","Centropomus viridis"
"526","Centropomus","nigrescens",NA,NA,"Centropomus nigrescens","NA NA","Centropomus nigrescens","nigrescens NA","Centropomus nigrescens"
"527","Centropomus","medius",NA,NA,"Centropomus medius","NA NA","Centropomus medius","medius NA","Centropomus medius"
"528","larga","Centropomus",NA,NA,"larga Centropomus","NA NA","larga Centropomus","Centropomus NA","larga Centropomus"
"529","amarilla,","Centropomus",NA,NA,"amarilla, Centropomus","NA NA","amarilla, Centropomus","Centropomus NA","amarilla, Centropomus"
"530","Strongylura","exilis",NA,NA,"Strongylura exilis","NA NA","Strongylura exilis","exilis NA","Strongylura exilis"
"531","Anisotremus","interruptusc,",NA,NA,"Anisotremus interruptusc,","NA NA","Anisotremus interruptusc,","interruptusc, NA","Anisotremus interruptusc,"
"532","Ariopsis","seemani",NA,NA,"Ariopsis seemani","NA NA","Ariopsis seemani","seemani NA","Ariopsis seemani"
"533","Sphyraena","ensis",NA,NA,"Sphyraena ensis","NA NA","Sphyraena ensis","ensis NA","Sphyraena ensis"
"534","Umbrina","xanti",NA,NA,"Umbrina xanti","NA NA","Umbrina xanti","xanti NA","Umbrina xanti"
"535","Orthopristis","chalceus",NA,NA,"Orthopristis chalceus","NA NA","Orthopristis chalceus","chalceus NA","Orthopristis chalceus"
"536","Haemulopsis","leuciscusd",NA,NA,"Haemulopsis leuciscusd","NA NA","Haemulopsis leuciscusd","leuciscusd NA","Haemulopsis leuciscusd"
"537","Acanthurus","xanthopterus",NA,NA,"Acanthurus xanthopterus","NA NA","Acanthurus xanthopterus","xanthopterus NA","Acanthurus xanthopterus"
"538","Caranx","caballus",NA,NA,"Caranx caballus","NA NA","Caranx caballus","caballus NA","Caranx caballus"
"539","Ophioscion","strabo",NA,NA,"Ophioscion strabo","NA NA","Ophioscion strabo","strabo NA","Ophioscion strabo"
"540","Haemulon","sexfasciatum",NA,NA,"Haemulon sexfasciatum","NA NA","Haemulon sexfasciatum","sexfasciatum NA","Haemulon sexfasciatum"
"541","Selene","brevoortii",NA,NA,"Selene brevoortii","NA NA","Selene brevoortii","brevoortii NA","Selene brevoortii"
"542","Caranx","caninus",NA,NA,"Caranx caninus","NA NA","Caranx caninus","caninus NA","Caranx caninus"
"543","Caranx","sexfasciatus",NA,NA,"Caranx sexfasciatus","NA NA","Caranx sexfasciatus","sexfasciatus NA","Caranx sexfasciatus"
"544","Chloroscombrus","orqueta",NA,NA,"Chloroscombrus orqueta","NA NA","Chloroscombrus orqueta","orqueta NA","Chloroscombrus orqueta"
"545","Gerres","cinereus",NA,NA,"Gerres cinereus","NA NA","Gerres cinereus","cinereus NA","Gerres cinereus"
"546","Eucinostomus","dowii",NA,NA,"Eucinostomus dowii","NA NA","Eucinostomus dowii","dowii NA","Eucinostomus dowii"
"547","Calamus","brachysomus",NA,NA,"Calamus brachysomus","NA NA","Calamus brachysomus","brachysomus NA","Calamus brachysomus"
"548","chumbo","Hemicaranx",NA,NA,"chumbo Hemicaranx","NA NA","chumbo Hemicaranx","Hemicaranx NA","chumbo Hemicaranx"
"549","Trachinotus","rhodopus",NA,NA,"Trachinotus rhodopus","NA NA","Trachinotus rhodopus","rhodopus NA","Trachinotus rhodopus"
"550","Epinephelus","analogus",NA,NA,"Epinephelus analogus","NA NA","Epinephelus analogus","analogus NA","Epinephelus analogus"
"551","Oligoplites","saurus",NA,NA,"Oligoplites saurus","NA NA","Oligoplites saurus","saurus NA","Oligoplites saurus"
"552","Haemulon","maculicauda",NA,NA,"Haemulon maculicauda","NA NA","Haemulon maculicauda","maculicauda NA","Haemulon maculicauda"
"553","Xenichthys","xanti",NA,NA,"Xenichthys xanti","NA NA","Xenichthys xanti","xanti NA","Xenichthys xanti"
"554","Bagre","panamensis",NA,NA,"Bagre panamensis","NA NA","Bagre panamensis","panamensis NA","Bagre panamensis"
