MMID,Short_Title,Keywords,Author,Institution,Dataset_Available,Subject_name,Area ,Region,Location,Start_Year,End_Year,Data_Time_Points,Unit_Type,Temporal_Resolution,Spatial_Resolution,Dataset_Title,Compilation_Title,Publication_Year,Reference,Available_Metadata,Metadata_name,User_Contact,Institution_Type,Research_Fund,Research_Field,SE_Interaction,Data_Uncertanty
295,Participation of the national Production  for Baja California,BC; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Baja California,Pacific,Gulf of California,Baja California,2004,2013,10,Currency,Year,State,Baja California: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
296,Participation of the national Production  for Baja California Sur,BCS; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Baja California Sur,Pacific,Gulf of California,Baja California Sur,2004,2013,10,Currency,Year,State,Baja California Sur: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
297,Participation of the national Production  for Campeche,Campeche; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Campeche,Atlantic,Yucatan Peninsula,Campeche,2004,2013,10,Currency,Year,State,Campeche: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
298,Participation of the national Production  for Coahuila,Coahuila; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Coahuila,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2004,2013,10,Currency,Year,State,Coahuila: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
299,Participation of the national Production  for Colima,Colima; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Colima,Pacific,South Pacific,Colima,2004,2013,10,Currency,Year,State,Colima: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
300,Participation of the national Production  for Chiapas,Chiapas; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Chiapas,Pacific,Gulf of Tehantepec,Chiapas,2004,2013,10,Currency,Year,State,Chiapas: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
301,Participation of the national Production  for Chihuahua,Chihuahua; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Chihuahua,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2004,2013,10,Currency,Year,State,Chihuahua: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
302,Participation of the national Production  for Durango,Durango; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Durango,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2004,2013,10,Currency,Year,State,Durango: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
303,Participation of the national Production  for Guanajuato,Guanajuato; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Guanajuato,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2004,2013,10,Currency,Year,State,Guanajuato: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
304,Participation of the national Production  for Guerrero,Guerrero; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Guerrero,Pacific,South Pacific,Guerrero,2004,2013,10,Currency,Year,State,Guerrero: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
305,Participation of the national Production  for Hidalgo,Hidalgo; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Hidalgo,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2004,2013,10,Currency,Year,State,Hidalgo: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
306,Participation of the national Production  for Jalisco,Jalisco; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Jalisco,Pacific,South Pacific,Jalisco,2004,2013,10,Currency,Year,State,Jalisco: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
307,Participation of the national Production  for Mexico (DF), (DF); Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Mexico(DF),Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico(DF),2004,2013,10,Currency,Year,State,Mexico (DF): Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
308,Participation of the national Production  for Michoacan,Michoacan; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Michoacan,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2004,2013,10,Currency,Year,State,Michoacan: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
309,Participation of the national Production  for Morelos,Morelos; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Morelos,Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos,2004,2013,10,Currency,Year,State,Morelos: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
310,Participation of the national Production  for nayarit,nayarit; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,nayarit,Pacific,South Pacific,nayarit,2004,2013,10,Currency,Year,State,nayarit: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
311,Participation of the national Production  for Nuevo Leon,Nuevo Leon; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Nuevo Leon,Freshwater/Terrestrial,Freshwater/Terrestrial,Nuevo Leon,2004,2013,10,Currency,Year,State,Nuevo Leon: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
312,Participation of the national Production  for Oaxaca,Oaxaca; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Oaxaca,Pacific,Gulf of Tehantepec,Oaxaca,2004,2013,10,Currency,Year,State,Oaxaca: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
313,Participation of the national Production  for Puebla,Puebla; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Puebla,Freshwater/Terrestrial,Freshwater/Terrestrial,Puebla,2004,2013,10,Currency,Year,State,Puebla: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
314,Participation of the national Production  for Queretaro,Queretaro; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Queretaro,Freshwater/Terrestrial,Freshwater/Terrestrial,Queretaro,2004,2013,10,Currency,Year,State,Queretaro: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
315,Participation of the national Production  for Quintana Roo,Quintana Roo; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Quintana Roo,Atlantic,Yucatan Peninsula,Quintana Roo,2004,2013,10,Currency,Year,State,Quintana Roo: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
316,Participation of the national Production  for San Luis Potosi,San Luis Potosi; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,San Luis Potosi,Freshwater/Terrestrial,Freshwater/Terrestrial,San Luis Potosi,2004,2013,10,Currency,Year,State,San Luis Potosi: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
317,Participation of the national Production  for Sinaloa,Sinaloa; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Sinaloa,Pacific,Gulf of California,Sinaloa,2004,2013,10,Currency,Year,State,Sinaloa: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
318,Participation of the national Production  for Sonora,Sonora; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Sonora,Pacific,Gulf of California,Sonora,2004,2013,10,Currency,Year,State,Sonora: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
319,Participation of the national Production  for Tabasco,Tabasco; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Tabasco,Atlantic,West Gulf of Mexico,Tabasco,2004,2013,10,Currency,Year,State,Tabasco: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
320,Participation of the national Production  for Tamaulipas,Tamaulipas; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Tamaulipas,Atlantic,West Gulf of Mexico,Tamaulipas,2004,2013,10,Currency,Year,State,Tamaulipas: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
321,Participation of the national Production  for Tlaxcala,Tlaxcala; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Tlaxcala,Freshwater/Terrestrial,Freshwater/Terrestrial,Tlaxcala,2004,2013,10,Currency,Year,State,Tlaxcala: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
322,Participation of the national Production  for Veracruz,Veracruz; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Veracruz,Atlantic,West Gulf of Mexico,Veracruz,2004,2013,10,Currency,Year,State,Veracruz: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
323,Participation of the national Production  for Yucatan,Yucatan; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Yucatan,Atlantic,Yucatan Peninsula,Yucatan,2004,2013,10,Currency,Year,State,Yucatan: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
324,Participation of the national Production  for Zacatecas,Zacatecas; Proporcion of Produccion; ,SAGARPA,SAGARPA;CONAPESCA,1,Zacatecas,Freshwater/Terrestrial,Freshwater/Terrestrial,Zacatecas,2004,2013,10,Currency,Year,State,Zacatecas: Participacion Porcentual en la Produccion nacional,Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
325,Basic Social-economic Information About Fishing Sector of  Aguascalientes,Aguascalientes; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Aguascalientes,Freshwater/Terrestrial,Freshwater/Terrestrial,Aguascalientes,2013,2013,1,Values,Year,State,Aguascalientes: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
326,Basic Social-economic Information About Fishing Sector of  Baja California,BC; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Baja California,Pacific,Gulf of California,Baja California,2013,2013,1,Values,Year,State,Baja California: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
327,Basic Social-economic Information About Fishing Sector of  Baja California Sur,BCS; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Baja California Sur,Pacific,Gulf of California,Baja California Sur,2013,2013,1,Values,Year,State,Baja California Sur: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
328,Basic Social-economic Information About Fishing Sector of  Campeche,Campeche; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Campeche,Atlantic,Yucatan Peninsula,Campeche,2013,2013,1,Values,Year,State,Campeche: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
329,Basic Social-economic Information About Fishing Sector of  Coahuila,Coahuila; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Coahuila,Freshwater/Terrestrial,Freshwater/Terrestrial,Coahuila,2013,2013,1,Values,Year,State,Coahuila: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
330,Basic Social-economic Information About Fishing Sector of  Colima,Colima; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Colima,Pacific,South Pacific,Colima,2013,2013,1,Values,Year,State,Colima: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
331,Basic Social-economic Information About Fishing Sector of  Chiapas,Chiapas; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Chiapas,Pacific,Gulf of Tehantepec,Chiapas,2013,2013,1,Values,Year,State,Chiapas: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
332,Basic Social-economic Information About Fishing Sector of  Chihuahua,Chihuahua; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Chihuahua,Freshwater/Terrestrial,Freshwater/Terrestrial,Chihuahua,2013,2013,1,Values,Year,State,Chihuahua: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
333,Basic Social-economic Information About Fishing Sector of  Durango,Durango; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Durango,Freshwater/Terrestrial,Freshwater/Terrestrial,Durango,2013,2013,1,Values,Year,State,Durango: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
334,Basic Social-economic Information About Fishing Sector of  Guanajuato,Guanajuato; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Guanajuato,Freshwater/Terrestrial,Freshwater/Terrestrial,Guanajuato,2013,2013,1,Values,Year,State,Guanajuato: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
335,Basic Social-economic Information About Fishing Sector of  Guerrero,Guerrero; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Guerrero,Pacific,South Pacific,Guerrero,2013,2013,1,Values,Year,State,Guerrero: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
336,Basic Social-economic Information About Fishing Sector of  Hidalgo,Hidalgo; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Hidalgo,Freshwater/Terrestrial,Freshwater/Terrestrial,Hidalgo,2013,2013,1,Values,Year,State,Hidalgo: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
337,Basic Social-economic Information About Fishing Sector of  Jalisco,Jalisco; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Jalisco,Pacific,South Pacific,Jalisco,2013,2013,1,Values,Year,State,Jalisco: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
338,Basic Social-economic Information About Fishing Sector of  Mexico (DF), (DF); Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Mexico(DF),Freshwater/Terrestrial,Freshwater/Terrestrial,Mexico(DF),2013,2013,1,Values,Year,State,Mexico (DF): Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
339,Basic Social-economic Information About Fishing Sector of  Michoacan,Michoacan; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Michoacan,Freshwater/Terrestrial,Freshwater/Terrestrial,Michoacan,2013,2013,1,Values,Year,State,Michoacan: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
340,Basic Social-economic Information About Fishing Sector of  Morelos,Morelos; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Morelos,Freshwater/Terrestrial,Freshwater/Terrestrial,Morelos,2013,2013,1,Values,Year,State,Morelos: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
341,Basic Social-economic Information About Fishing Sector of  nayarit,nayarit; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,nayarit,Pacific,South Pacific,nayarit,2013,2013,1,Values,Year,State,nayarit: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
342,Basic Social-economic Information About Fishing Sector of  Nuevo Leon,Nuevo Leon; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Nuevo Leon,Freshwater/Terrestrial,Freshwater/Terrestrial,Nuevo Leon,2013,2013,1,Values,Year,State,Nuevo Leon: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
343,Basic Social-economic Information About Fishing Sector of  Oaxaca,Oaxaca; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Oaxaca,Pacific,Gulf of Tehantepec,Oaxaca,2013,2013,1,Values,Year,State,Oaxaca: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
344,Basic Social-economic Information About Fishing Sector of  Puebla,Puebla; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Puebla,Freshwater/Terrestrial,Freshwater/Terrestrial,Puebla,2013,2013,1,Values,Year,State,Puebla: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
345,Basic Social-economic Information About Fishing Sector of  Queretaro,Queretaro; Pescador; Industria Embarcacion; Industria; Artesanal Embarcacion; Acuacultura,SAGARPA,SAGARPA;CONAPESCA,1,Queretaro,Freshwater/Terrestrial,Freshwater/Terrestrial,Queretaro,2013,2013,1,Values,Year,State,Queretaro: Serie Historica del Valor de la Produccion (Miles de Pesos),Anuario Estadistico de acuacultura y pesca 2013,2013,https://www.gob.mx/conapesca/documentos/anuario-estadistico-de-acuacultura-y-pesca,NO,na,Juliano Palacios; jepa88@gmail.com,GOV,GOV,Fisheries,Benefits,
